k	Emb         Distance		acc	        prec_wt	    rec_wt      f1_wt       prec_mi	    rec_mi      f1_mi       prec_ma	    rec_ma      f1_ma       time
1	VIT   		CosineSim		0.1906		0.29		0.257		0.248		0.191		0.257		0.219		0.191		0.413		0.177		5.12
1	ResNet		CosineSim		0.2341		0.301		0.298		0.274		0.234		0.298		0.262		0.211		0.4		    0.204		4.92
1	VIT   		Manhattan		0.1773		0.296		0.255		0.248		0.177		0.255		0.209		0.184		0.369		0.166		1.68
1	ResNet		Manhattan		0.2441		0.313		0.3		    0.282		0.244		0.3		    0.269		0.198		0.4		    0.19		1.65
1	VIT   		Euclidean		0.1773		0.262		0.238		0.231		0.177		0.238		0.203		0.168		0.393		0.156		2.13
1	ResNet		Euclidean		0.2475		0.321		0.307		0.288		0.247		0.307		0.274		0.225		0.408		0.215		2.0
2	VIT   		CosineSim		0.1906		0.29		0.257		0.248		0.191		0.257		0.219		0.191		0.413		0.177		5.39
2	ResNet		CosineSim		0.2341		0.301		0.298		0.274		0.234		0.298		0.262		0.211		0.4		    0.204		5.02
2	VIT   		Manhattan		0.1773		0.296		0.255		0.248		0.177		0.255		0.209		0.184		0.369		0.166		1.62
2	ResNet		Manhattan		0.2441		0.313		0.3		    0.282		0.244		0.3		    0.269		0.198		0.4		    0.19		1.45
2	VIT   		Euclidean		0.1773		0.262		0.238		0.231		0.177		0.238		0.203		0.168		0.393		0.156		2.01
2	ResNet		Euclidean		0.2475		0.321		0.307		0.288		0.247		0.307		0.274		0.225		0.408		0.215		1.91
3	VIT   		CosineSim		0.1906		0.277		0.263		0.248		0.191		0.263		0.221		0.187		0.416		0.178		5.05
3	ResNet		CosineSim		0.2375		0.32		0.318		0.285		0.237		0.318		0.272		0.222		0.42		0.214		4.86
3	VIT   		Manhattan		0.1973		0.305		0.284		0.273		0.197		0.284		0.233		0.187		0.375		0.178		1.61
3	ResNet		Manhattan		0.2508		0.322		0.322		0.293		0.251		0.322		0.282		0.205		0.415		0.196		1.47
3	VIT   		Euclidean		0.1839		0.268		0.249		0.239		0.184		0.249		0.212		0.165		0.397		0.156		2.07
3	ResNet		Euclidean		0.2475		0.328		0.322		0.293		0.247		0.322		0.28		0.225		0.418		0.217		2.01
4	VIT   		CosineSim		0.1906		0.287		0.269		0.253		0.191		0.269		0.223		0.186		0.415		0.175		5.11
4	ResNet		CosineSim		0.2341		0.314		0.317		0.279		0.234		0.317		0.269		0.209		0.415		0.201		4.93
4	VIT   		Manhattan		0.1839		0.295		0.272		0.262		0.184		0.272		0.22		0.183		0.366		0.173		1.59
4	ResNet		Manhattan		0.2542		0.327		0.325		0.297		0.254		0.325		0.285		0.207		0.425		0.199		1.47
4	VIT   		Euclidean		0.1873		0.285		0.252		0.244		0.187		0.252		0.215		0.18		0.402		0.164		2.11
4	ResNet		Euclidean		0.2408		0.302		0.321		0.287		0.241		0.321		0.275		0.209		0.424		0.211		1.92
5	VIT   		CosineSim		0.2107		0.311		0.297		0.278		0.211		0.297		0.247		0.197		0.428		0.186		5.11
5	ResNet		CosineSim		0.2475		0.332		0.339		0.298		0.247		0.339		0.286		0.233		0.454		0.225		4.89
5	VIT   		Manhattan		0.194		0.312		0.29		0.274		0.194		0.29		0.232		0.184		0.371		0.171		1.59
5	ResNet		Manhattan		0.2542		0.343		0.344		0.31		0.254		0.344		0.292		0.221		0.453		0.211		1.48
5	VIT   		Euclidean		0.204		0.292		0.275		0.259		0.204		0.275		0.234		0.184		0.412		0.171		2.03
5	ResNet		Euclidean		0.2642		0.365		0.353		0.324		0.264		0.353		0.302		0.256		0.463		0.242		1.91
6	VIT   		CosineSim		0.2074		0.319		0.294		0.268		0.207		0.294		0.243		0.201		0.435		0.183		5.19
6	ResNet		CosineSim		0.2508		0.344		0.352		0.307		0.251		0.352		0.293		0.227		0.458		0.219		4.8
